"ID","Team","Rank","Points","Prev_Points","Confederation"
1,"Albania",75,1325,1316,"UEFA"
2,"Algeria",85,1271,1271,"CAF"
3,"American Samoa",133,1030,1030,"OFC"
4,"Andorra",155,749,749,"UEFA"
5,"Angola",121,1117,1117,"CAF"
6,"Antigua and Barbuda",153,787,787,"CONCACAF"
7,"Argentina",32,1659,1659,"CONMEBOL"
8,"Armenia",126,1103,1104,"UEFA"
9,"Aruba",157,724,724,"CONCACAF"
10,"Australia",7,1963,1963,"AFC"
11,"Austria",22,1792,1797,"UEFA"
12,"Azerbaijan",76,1321,1326,"UEFA"
13,"Bahrain",84,1274,1274,"AFC"
14,"Bangladesh",134,1008,1008,"AFC"
15,"Barbados",135,1002,1002,"CONCACAF"
16,"Belarus",53,1434,1437,"UEFA"
17,"Belgium",17,1819,1824,"UEFA"
18,"Belize",150,824,824,"CONCACAF"
19,"Bermuda",136,987,987,"CONCACAF"
20,"Bhutan",154,769,769,"AFC"
21,"Bolivia",91,1236,1236,"CONMEBOL"
22,"Bosnia and Herzegovina",59,1411,1397,"UEFA"
23,"Botswana",148,848,848,"CAF"
24,"Brazil",8,1958,1956,"CONMEBOL"
25,"Bulgaria",79,1303,1303,"UEFA"
26,"Cameroon",51,1455,1486,"CAF"
27,"Canada",8,1958,1958,"CONCACAF"
28,"Chile",37,1640,1637,"CONMEBOL"
29,"China PR",15,1867,1842,"AFC"
30,"Chinese Taipei",40,1589,1584,"AFC"
31,"Colombia",25,1700,1700,"CONMEBOL"
32,"Comoros",156,731,731,"CAF"
33,"Congo",104,1178,1178,"CAF"
34,"Congo DR",110,1159,1159,"CAF"
35,"Cook Islands",103,1194,1194,"OFC"
36,"Costa Rica",36,1644,1630,"CONCACAF"
37,"C̫te d'Ivoire",63,1392,1392,"CAF"
38,"Croatia",52,1453,1439,"UEFA"
39,"Cuba",88,1240,1240,"CONCACAF"
40,"Cyprus",123,1114,1123,"UEFA"
41,"Czech Republic",29,1678,1678,"UEFA"
42,"Denmark",16,1851,1839,"UEFA"
43,"Dominican Republic",105,1173,1173,"CONCACAF"
44,"El Salvador",109,1164,1164,"CONCACAF"
45,"England",6,1999,2001,"UEFA"
46,"Equatorial Guinea",71,1356,1356,"CAF"
47,"Estonia",95,1210,1206,"UEFA"
48,"Eswatini",151,822,822,"CAF"
49,"Ethiopia",111,1151,1151,"CAF"
50,"Faroe Islands",86,1259,1262,"UEFA"
51,"Fiji",66,1373,1373,"OFC"
52,"Finland",30,1671,1678,"UEFA"
53,"France",3,2036,2033,"UEFA"
54,"Gabon",130,1066,1066,"CAF"
55,"Gambia",113,1143,1183,"CAF"
56,"Georgia",115,1138,1145,"UEFA"
57,"Germany",2,2090,2078,"UEFA"
58,"Ghana",60,1401,1404,"CAF"
59,"Greece",62,1396,1395,"UEFA"
60,"Guam",82,1282,1282,"AFC"
61,"Guatemala",80,1290,1290,"CONCACAF"
62,"Haiti",64,1391,1368,"CONCACAF"
63,"Honduras",116,1136,1136,"CONCACAF"
64,"Hong Kong",74,1329,1335,"AFC"
65,"Hungary",43,1537,1526,"UEFA"
66,"Iceland",19,1817,1821,"UEFA"
67,"India",55,1432,1432,"AFC"
68,"Indonesia",94,1222,1222,"AFC"
69,"IR Iran",70,1358,1358,"AFC"
70,"Israel",67,1369,1371,"UEFA"
71,"Italy",14,1889,1882,"UEFA"
72,"Jamaica",50,1460,1461,"CONCACAF"
73,"Japan",11,1937,1942,"AFC"
74,"Jordan",58,1419,1419,"AFC"
75,"Kazakhstan",77,1318,1318,"UEFA"
76,"Kenya",137,986,986,"CAF"
77,"Korea DPR",10,1940,1940,"AFC"
78,"Korea Republic",18,1818,1812,"AFC"
79,"Kosovo",125,1104,1109,"UEFA"
80,"Kyrgyz Republic",120,1118,1118,"AFC"
81,"Latvia",93,1223,1223,"UEFA"
82,"Lebanon",141,967,967,"AFC"
83,"Lesotho",147,850,850,"CAF"
84,"Lithuania",107,1169,1168,"UEFA"
85,"Luxembourg",119,1124,1124,"UEFA"
86,"Madagascar",158,691,691,"CAF"
87,"Malawi",145,887,887,"CAF"
88,"Malaysia",90,1238,1238,"AFC"
89,"Maldives",142,966,966,"AFC"
90,"Mali",83,1276,1276,"CAF"
91,"Malta",101,1197,1195,"UEFA"
92,"Mauritius",159,357,357,"CAF"
93,"Mexico",27,1686,1699,"CONCACAF"
94,"Moldova",92,1228,1229,"UEFA"
95,"Mongolia",123,1114,1114,"AFC"
96,"Montenegro",97,1201,1206,"UEFA"
97,"Morocco",81,1289,1280,"CAF"
98,"Mozambique",152,814,814,"CAF"
99,"Myanmar",45,1511,1527,"AFC"
100,"Namibia",143,956,956,"CAF"
101,"Nepal",99,1200,1200,"AFC"
102,"Netherlands",4,2032,2035,"UEFA"
103,"New Caledonia",96,1208,1208,"OFC"
104,"New Zealand",23,1757,1760,"OFC"
105,"Nicaragua",122,1116,1116,"CONCACAF"
106,"Nigeria",38,1614,1614,"CAF"
107,"North Macedonia",129,1072,1073,"UEFA"
108,"Northern Ireland",55,1432,1433,"UEFA"
109,"Norway",12,1930,1929,"UEFA"
110,"Palestine",117,1131,1131,"AFC"
111,"Panama",60,1401,1437,"CONCACAF"
112,"Papua New Guinea",46,1504,1504,"OFC"
113,"Paraguay",48,1490,1490,"CONMEBOL"
114,"Peru",65,1376,1376,"CONMEBOL"
115,"Philippines",67,1369,1369,"AFC"
116,"Poland",28,1683,1677,"UEFA"
117,"Portugal",32,1659,1667,"UEFA"
118,"Puerto Rico",106,1172,1172,"CONCACAF"
119,"Republic of Ireland",31,1666,1665,"UEFA"
120,"Romania",44,1535,1542,"UEFA"
121,"Russia",24,1708,1708,"UEFA"
122,"Rwanda",144,899,899,"CAF"
123,"Samoa",107,1169,1169,"OFC"
124,"Scotland",21,1804,1794,"UEFA"
125,"Senegal",87,1247,1245,"CAF"
126,"Serbia",41,1558,1553,"UEFA"
127,"Singapore",128,1089,1089,"AFC"
128,"Slovakia",47,1501,1500,"UEFA"
129,"Slovenia",49,1471,1467,"UEFA"
130,"Solomon Islands",114,1140,1140,"OFC"
131,"South Africa",53,1434,1434,"CAF"
132,"Spain",13,1915,1900,"UEFA"
133,"Sri Lanka",140,968,968,"AFC"
134,"St. Kitts and Nevis",131,1050,1054,"CONCACAF"
135,"St. Lucia",138,982,982,"CONCACAF"
136,"Suriname",127,1093,1093,"CONCACAF"
137,"Sweden",5,2007,2022,"UEFA"
138,"Switzerland",20,1815,1817,"UEFA"
139,"Tahiti",102,1196,1196,"OFC"
140,"Tajikistan",132,1035,1035,"AFC"
141,"Tanzania",139,978,978,"CAF"
142,"Thailand",39,1596,1620,"AFC"
143,"Tonga",88,1240,1240,"OFC"
144,"Trinidad and Tobago",72,1354,1354,"CONCACAF"
145,"Tunisia",78,1304,1313,"CAF"
146,"Turkey",69,1365,1361,"UEFA"
147,"Uganda",146,868,868,"CAF"
148,"Ukraine",26,1692,1697,"UEFA"
149,"United Arab Emirates",97,1201,1201,"AFC"
150,"Uruguay",73,1346,1346,"CONMEBOL"
151,"US Virgin Islands",149,843,843,"CONCACAF"
152,"USA",1,2181,2174,"CONCACAF"
153,"Uzbekistan",42,1543,1543,"AFC"
154,"Vanuatu",117,1131,1131,"OFC"
155,"Venezuela",57,1425,1425,"CONMEBOL"
156,"Vietnam",35,1657,1665,"AFC"
157,"Wales",34,1658,1659,"UEFA"
158,"Zambia",100,1198,1167,"CAF"
159,"Zimbabwe",111,1151,1151,"CAF"
